reviewContent,rating,sentiment
cepat sampai original sudah di test dan sekarang jd tandem ssd intel saya terima kasih,5.0,Positive
pengiriman cepat barang bagus,4.0,Positive
recomended thx,5.0,Positive
sesuai tapi powerbanknya ringan sekali sesuai harga sih,4.0,Positive
barang dipacking kuat dan rapih cepat sampai sesuai estimasi trimakasih kotakom,5.0,Positive
barang di pesan tanggal13 juli tgl14 barang sudah di kirim tanggal 26 barang sampai memang sedikit lama tapi saya maklum kok karena barang nya dari luar negri packing rapi barang berfungsi dengan baik,5.0,Positive
good dan bisa di pake,5.0,Positive
udah hampir 2 minggu barang belum jg nyampe order tgl 27 april 2017 status pesanan masi aja dlm proses gmana ni lazada,1.0,Negative
barangnya udah sampai thanks lazada,5.0,Positive
mohon bantuan nya kok barangnya belom sampai udh 21hari sy tunggu gag kunjung datang mohon diperhatikan terima kasih,1.0,Negative
barang datang cepat mulus semoga tidak ada masalah kedepannya,5.0,Positive
hanya bisa menyimpan sedikit file padahal kapasitas 16 gb sebagian besar file lainnya tidak bisa terbaca padahal sudah saya coba beberapa kali,3.0,Neutral
tidak bisa menyimpan data,1.0,Negative
ga kecewa deh barang keren kemasan rapih makasih bos,5.0,Positive
barang oke,5.0,Positive
karna tidak bisa nyimpan film dan data,1.0,Negative
bagus produknya,5.0,Positive
pesanan saya yg ini belum saya terima kenapa dibuat sudah saya terima tolong dong ini dicek lagi,5.0,Positive
barangnya bagus,5.0,Positive
blom keterima,5.0,Positive
produk nya mantap,5.0,Positive
so far so good,5.0,Positive
barang ok kiriman tepat waktu,4.0,Positive
sesuai,5.0,Positive
barang bagus tapi sayang pengiriman dari pihak j t barangnya kesasar ke kota pamekasan padahal sudah tercantum kota sampang utk j t lebih hati-hati lagi ya untung tidak hilang barangnya utk seller top fast response,5.0,Positive
barang nyampai dgn mulus tdk ada cacat,5.0,Positive
thanks lazada barang nya sesuai expektasi,5.0,Positive
barang good pengiriman cepat kurir mantap ramah makasih lazada,5.0,Positive
barang berfungsi normal semoga awet,5.0,Positive
barang sesuai deskripsi dan orderan,5.0,Positive
falshdisk bagus berfungsi dengan baik,5.0,Positive
barang sesuai pesanan mantab,5.0,Positive
thx lazada semoga fdnya awet,5.0,Positive
pengiriman cepat smoga awet,5.0,Positive
pengiriman cepat brgnya mantap,5.0,Positive
sampai dgn selamat dan aman,5.0,Positive
saya belum terima barangnya,5.0,Positive
brg ok sampai cepat,5.0,Positive
mantap,5.0,Positive
sip,5.0,Positive
pengiriman on time cuman packing sederhana sekali tanpa bubble wrap,4.0,Positive
kurir baik n bertanggungjawab barang sesuai spesifikasi semoga awet ya,5.0,Positive
barang cepat sampai sesuai pesanan,5.0,Positive
barang ok kemasan rapih,5.0,Positive
mantap sesuai pesanan nih mah pokok nya joss,5.0,Positive
bagus dan sangat sesuai dengan kebutuhan,5.0,Positive
lumayan dengan harga segitu packing rapih pengiriman cepat semoga tidak ada kendala,4.0,Positive
mudah mudahan bisa beli laptop mahals kalo bisa beli asus rog aja wkwk,5.0,Positive
pengen beli budget ga cukup,5.0,Positive
yah lumayan lah tapi saya ketemu ram 16gb ddr4 pake rx460 i7 6700hq malah 9 jutaan,4.0,Positive
tunggu gua jual lepi lama gua ama ngutang tetangga sebelah nanti gua beli,5.0,Positive
apa produk aslinya sesuai dgn yg di gambar ini,4.0,Positive
dikantong cuma ada 15rb,5.0,Positive
,2.0,Negative
